ActivityID;ActivityArea;ActivityParent;ActivityLevel;ActivityName_[ENG];ActivityName_[HRV];ActivityName_[BIH];ActivityName_[SRB];ActivityName_[SVN]
4721;G;472;4;Retail sale of fruit and vegetables in specialised stores;Trgovina na malo voæem i povræem u specijaliziranim prodavaonicama;Trgovina na malo voæem i povræem u specijaliziranim prodavnicama;Trgovina na malo voæem i povræem u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah s sadjem in zelenjavo
4722;G;472;4;Retail sale of meat and meat products in specialised stores;Trgovina na malo mesom i mesnim proizvodima u specijaliziranim prodavaonicama;Trgovina  na  malo  mesom  i  mesnim  proizvodima  u specijaliziranim prodavnicama;Trgovina na malo mesom i proizvodima od mesa u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z mesom in mesnimi izdelki
4723;G;472;4;Retail sale of fish, crustaceans and molluscs in specialised stores;Trgovina na malo ribama, rakovima i školjkama u specijaliziranim prodavaonicama;Trgovina  na malo ribama,  ljuskarima  i mekušcima  u specijaliziranim prodavnicama;Trgovina na malo ribom, ljuskarima i mekušcima u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z ribami, raki, mehkužci
4724;G;472;4;Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores;Trgovina na malo kruhom, pecivom, kolaèima, tjesteninama, bombonima i slatk. u spec. prod.;Trgovina na malo hljebom, proizvodima od brašna, kolaèima i slatkišima u specijaliziranim prodavnicama;Trgovina na malo hlebom, testeninom, kolaèima i slatkišima u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah s kruhom, pecivom, testeninami, sladkornimi izdelki
4725;G;472;4;Retail sale of beverages in specialised stores;Trgovina na malo piæima u specijaliziranim prodavaonicama;Trgovina na malo piæima u specijaliziranim prodavnicama;Trgovina na malo piæima u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah s pijaèami
4726;G;472;4;Retail sale of tobacco products in specialised stores;Trgovina na malo duhanskim proizvodima u specijaliziranim prodavaonicama;Trgovina na malo duhanskim proizvodima u specijaliziranim prodavnicama;Trgovina na malo proizvodima od duvana u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah s tobaènimi izdelki
4729;G;472;4;Other retail sale of food in specialised stores;Ostala trgovina na malo prehrambenim proizvodima u specijaliziranim prodavaonicama;Ostala trgovina na malo prehrambenim proizvodima u specijaliziranim prodavnicama;Ostala trgovina na malo hranom u specijalizovanim prodavnicama;Druga trgovina na drobno v specializiranih prodajalnah z živili
4730;G;473;4;Retail sale of automotive fuel in specialised stores;Trgovina na malo motornim gorivima i mazivima u specijaliziranim prodavaonicama;Trgovina na malo motornim gorivima u specijaliziranim prodavnicama;Trgovina na malo motornim gorivima u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z motornimi gorivi
4741;G;474;4;Retail sale of computers, peripheral units and software in specialised stores;Trgovina na malo raèunalima, perifernim jedinicama i softverom u specijaliziranim prodav.;Trgovina na malo raèunarima,  perifernim jedinicama i softverom u specijaliziranim prodavnicama;Trgovina na malo raèunarima, perifernim jedinicama i softverom u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z raèunalniškimi napravami in programi
4742;G;474;4;Retail sale of telecommunications equipment in specialised stores;Trgovina na malo telekomunikacijskom opremom u specijaliziranim prodavaonicama;Trgovina na malo telekomunikacijskom opremom u specijaliziranim prodavnicama;Trgovina na malo telekomunikacionom opremom u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah s telekomunikacijskimi napravami
4743;G;474;4;Retail sale of audio and video equipment in specialised stores;Trgovina na malo audio i videoopremom u specijaliziranim prodavaonicama;Trgovina na malo audio i videoopremom u specijaliziranim prodavnicama;Trgovina na malo audio i video opremom u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z avdio in video napravami
4751;G;475;4;Retail sale of textiles in specialised stores;Trgovina na malo tekstilom u specijaliziranim prodavaonicama;Trgovina na malo tekstilom u specijaliziranim prodavnicama;Trgovina na malo tekstilom u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah s tekstilom
4752;G;475;4;Retail sale of hardware, paints and glass in specialised stores;Trgovina na malo željeznom robom, bojama i staklom u specijaliziranim prodavaonicama;Trgovina  na  malo metalnom  robom, bojama  i  staklom  u specijaliziranim prodavnicama;Trgovina na malo metalnom robom, bojama i staklom u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z gradbenim materialom, kovinskimi izdelki, barvami in steklom
4753;G;475;4;Retail sale of carpets, rugs, wall and floor coverings in specialised stores;Trgovina na malo sagovima i prostiraèima za pod, zidnim i podnim oblogama u spec. prod.;Trgovina na malo tepisima i prostiraèima za pod, zidnim i podnim oblogama u specijaliziranim prodavnicama;Trgovina na malo tepisima, zidnim i podnim oblogama u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah s preprogami, talnimi in stenskimi oblogami
4754;G;475;4;Retail sale of electrical household appliances in specialised stores;Trgovina na malo elektriènim aparatima za kuæanstvo u specijaliziranim prodavaonicama;Trgovina na malo elektriènim aparatima za domaæinstvo u specijaliziranim prodavnicama;Trgovina na malo elektriènim aparatima za domaæinstvo u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z elektriènimi gospodinjskimi napravami
4759;G;475;4;Retail sale of furniture, lighting equipment and other household articles in specialised stores;Trgovina na malo namještajem, opremom za rasvjetu i ost. pr. za kuæanstvo u spec. prodav.;Trgovina na malo namještajem, opremom za rasvjetu i ostalim proizvodima za domaæinstvo u specijaliziranim prodavnicama;Trgovina na malo nameštajem, opremom za osvetljenje i ostalim predmetima za domaæinstvo u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah s pohištvom, svetili in drugje nerazvršèenimi predmeti za gospodinjstvo
4761;G;476;4;Retail sale of books in specialised stores;Trgovina na malo knjigama u specijaliziranim prodavaonicama;Trgovina na malo knjigama u specijaliziranim prodavnicama;Trgovina na malo knjigama u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah s knjigami
4762;G;476;4;Retail sale of newspapers and stationery in specialised stores;Trgovina na malo novinama, papirnatom robom i pisaæim priborom u specijaliziranim prodav.;Trgovina na malo  novinama, papirnom robom  i pisaæim priborom u specijaliziranim prodavnicama;Trgovina na malo novinama i kancelarijskim materijalom u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah s èasopisi, revijami, papirjem, pisalnimi potrebšèinami
4763;G;476;4;Retail sale of music and video recordings in specialised stores;Trgovina na malo glazbenim i videozapisima u specijaliziranim prodavaonicama;Trgovina na malo muzièkim i videozapisima u specijaliziranim prodavnicama;Trgovina na malo muzièkim i video zapisima u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z glasbenimi in video zapisi
4764;G;476;4;Retail sale of sporting equipment in specialised stores;Trgovina na malo sportskom opremom u specijaliziranim prodavaonicama;Trgovina na  malo  sportskom  opremom  u  specijaliziranim prodavnicama;Trgovina na malo sportskom opremom u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah s športno opremo
4765;G;476;4;Retail sale of games and toys in specialised stores;Trgovina na malo igrama i igraèkama u specijaliziranim prodavaonicama;Trgovina na malo igrama i igraèkama u specijaliziranim prodavnicama;Trgovina na malo igrama i igraèkama u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z igraèami in rekviziti za igre in zabavo
4771;G;477;4;Retail sale of clothing in specialised stores;Trgovina na malo odjeæom u specijaliziranim prodavaonicama;Trgovina na malo odjeæom u specijaliziranim prodavnicama;Trgovina na malo odeæom u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z oblaèili
4772;G;477;4;Retail sale of footwear and leather goods in specialised stores;Trgovina na malo obuæom i proizvodima od kože ;Trgovina na malo obuæom i proizvodima od kože u specijaliziranim prodavnicama;Trgovina na malo obuæom i predmetima od kože u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z obutvijo in usnjenimi izdelki
4773;G;477;4;Dispensing chemist in specialised stores;Ljekarne ;Apoteke;Trgovina na malo farmaceutskim proizvodima u specijalizovanim prodavnicama – apotekama;Trgovina na drobno v specializiranih prodajalnah s farmacevtskimi izdelki
4774;G;477;4;Retail sale of medical and orthopaedic goods in specialised stores;Trgovina na malo medicinskim pripravcima i ortopedskim pomagalima u specijal. prodav.;Trgovina  na  malo  medicinskim  preparatima  i  ortopedskim pomagalima u specijaliziranim prodavnicama;Trgovina na malo medicinskim i ortopedskim pomagalima u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z medicinskimi in ortopedskimi pripomoèki
4775;G;477;4;Retail sale of cosmetic and toilet articles in specialised stores;Trgovina na malo kozmetièkim i toaletnim proizvodima u specijaliziranim prodavaonicama;Trgovina  na  malo  kozmetièkim  i toaletnim  proizvodima u specijaliziranim prodavnicama;Trgovina na malo kozmetièkim i toaletnim proizvodima u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah s kozmetiènimi in toaletnimi izdelki
4776;G;477;4;Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores;Trgovina na malo cvijeæem, sadnicama, sjemenjem, gnojivom, kuænim ljubimcima i hranom...;Trgovina na malo cvijeæem, sadnicama, sjemenjem, gnojivom, kuænim  ljubimcima  i  hranom  za  kuæne  ljubimce  u specijaliziranim prodavnicama;Trgovina na malo cveæem, sadnicama, semenjem, ðubrivima, kuænim ljubimcima i hranom za kuæne ljubimce u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah s cvetjem, rastlinami, gnojili, hišnimi živalmi in hrano za živali
4777;G;477;4;Retail sale of watches and jewelleryin specialised stores;Trgovina na malo satovima i nakitom u specijaliziranim prodavaonicama;Trgovina na malo satovima i nakitom u specijaliziranim prodavnicama;Trgovina na malo satovima i nakitom u specijalizovanim prodavnicama;Trgovina na drobno v specializiranih prodajalnah z urami in nakitom
4778;G;477;4;Other retail sale of new goods in specialised stores;Ostala trgovina na malo novom robom u specijaliziranim prodavaonicama;Ostala  trgovina  na  malo  novom  robom  u specijaliziranim prodavnicama;Ostala trgovina na malo novim proizvodima u specijalizovanim prodavnicama;Druga trgovina na drobno v specializiranih prodajalnah z novim blagom
4779;G;477;4;Retail sale of second-hand goods in stores;Trgovina na malo rabljenom robom u specijaliziranim prodavaonicama;Trgovina  na malo rabljenom robom u specijaliziranim prodavnicama;Trgovina na malo polovnom robom u prodavnicama;Trgovina na drobno v prodajalnah z rabljenim blagom
4781;G;478;4;Retail sale via stalls and markets of food, beverages and tobacco products;Trgovina na malo hranom, piæima i duhanskim proizvodima na štandovima i tržnicama;Trgovina na malo hranom, piæima i duhanskim proizvodima na štandovima i tržnicama;Trgovina na malo hranom, piæima i duvanskim proizvodima na tezgama i pijacama;Trgovina na drobno na stojnicah in tržnicah z živili, pijaèami in tobaènimi izdelki
4782;G;478;4;Retail sale via stalls and markets of textiles, clothing and footwear;Trgovina na malo tekstilom, odjeæom i obuæom na štandovima i tržnicama;Trgovina na malo tekstilom, odjeæom i obuæom na štandovima i tržnicama;Trgovina na malo tekstilom, odeæom i obuæom na tezgama i pijacama;Trgovina na drobno na stojnicah in tržnicah s tekstilijami in obutvijo
4789;G;478;4;Retail sale via stalls and markets of other goods;Trgovina na malo ostalom robom na štandovima i tržnicama;Trgovina na malo ostalom robom na štandovima i tržnicama;Trgovina na malo ostalom robom na tezgama i pijacama;Trgovina na drobno na stojnicah in tržnicah z drugim blagom
4791;G;479;4;Retail sale via mail order houses or via Internet;Trgovina na malo preko pošte ili interneta;Trgovina na malo putem pošte ili interneta;Trgovina na malo posredstvom pošte ili preko interneta;Trgovina na drobno po pošti ali po internetu
4799;G;479;4;Other retail sale not in stores, stalls or markets;Ostala trgovina na malo izvan prodavaonica, štandova i tržnica;Ostala trgovina na malo izvan prodavnica, štandova i tržnica;Ostala trgovina na malo izvan prodavnica, tezgi i pijaca;Druga trgovina na drobno zunaj prodajaln, stojnic in tržnic
4910;H;491;4;Passenger rail transport, interurban;Željeznièki prijevoz putnika, meðugradski;Željeznièki prijevoz putnika, meðugradski;Železnièki prevoz putnika, daljinski i regionalni;Železniški potniški promet
4920;H;492;4;Freight rail transport;Željeznièki prijevoz robe;Željeznièki prijevoz robe;Železnièki prevoz tereta;Železniški tovorni promet
4931;H;493;4;Urban and suburban passenger land transport;Gradski i prigradski kopneni prijevoz putnika;Gradski i prigradski kopneni prijevoz putnika;Gradski i prigradski kopneni prevoz putnika;Mestni in primestni kopenski potniški promet
4932;H;493;4;Taxi operation;Taksi služba;Taksi služba;Taksi prevoz;Obratovanje taksijev
4939;H;493;4;Other passenger land transport n.e.c.;Ostali kopneni prijevoz putnika, d. n.;Ostali kopneni prijevoz putnika, d. n.;Ostali prevoz putnika u kopnenom saobraæaju;Drug kopenski potniški promet
4941;H;494;4;Freight transport by road;Cestovni prijevoz robe;Cestovni prijevoz robe;Drumski prevoz tereta;Cestni tovorni promet
4942;H;494;4;Removal services;Usluge preseljenja;Usluge preseljenja;Usluge preseljenja;Selitvena dejavnost
4950;H;495;4;Transport via pipeline;Cjevovodni transport;Cjevovodni transport;Cevovodni transport;Cevovodni transport
5010;H;501;4;Sea and coastal passenger water transport;Pomorski i obalni prijevoz putnika;Pomorski i priobalni prijevoz putnika;Pomorski i priobalni prevoz putnika;Pomorski potniški promet
5020;H;502;4;Sea and coastal freight water transport;Pomorski i obalni prijevoz robe;Pomorski i priobalni prijevoz robe;Pomorski i priobalni prevoz tereta;Pomorski tovorni promet
5030;H;503;4;Inland passenger water transport;Prijevoz putnika unutrašnjim vodenim putovima;Prijevoz putnika unutrašnjim vodenim putevima;Prevoz putnika unutrašnjim plovnim putevima;Potniški promet po celinskih vodah
5040;H;504;4;Inland freight water transport;Prijevoz robe unutrašnjim vodenim putovima;Prijevoz robe unutrašnjim vodenim putevima;Prevoz tereta unutrašnjim plovnim putevima;Tovorni promet po celinskih vodah
5110;H;511;4;Passenger air transport;Zraèni prijevoz putnika;Zraèni prijevoz putnika;Vazdušni prevoz putnika;Potniški zraèni promet
5121;H;512;4;Freight air transport;Zraèni prijevoz robe;Zraèni prijevoz robe;Vazdušni prevoz tereta;Tovorni zraèni promet
5122;H;512;4;Space transport;Svemirski prijevoz;Svemirski prijevoz;Vasionski saobraæaj;Vesoljski promet
5210;H;521;4;Warehousing and storage;Skladištenje robe;Skladištenje robe;Skladištenje;Skladišèenje
5221;H;522;4;Service activities incidental to land transportation;Uslužne djelatnosti u vezi s kopnenim prijevozom;Uslužne djelatnosti u vezi s kopnenim prijevozom;Uslužne delatnosti u kopnenom saobraæaju;Spremljajoèe storitvene dejavnosti v kopenskem prometu
5222;H;522;4;Service activities incidental to water transportation;Uslužne djelatnosti u vezi s vodenim prijevozom;Uslužne djelatnosti u vezi s vodenim prijevozom;Uslužne delatnosti u vodenom saobraæaju;Spremljajoèe storitvene dejavnosti v vodnem prometu
5223;H;522;4;Service activities incidental to air transportation;Uslužne djelatnosti u vezi sa zraènim prijevozom;Uslužne djelatnosti u vezi sa zraènim prijevozom;Uslužne delatnosti u vazdušnom saobraæaju;Spremljajoèe storitvene dejavnosti v zraènem prometu
5224;H;522;4;Cargo handling;Prekrcaj tereta;Pretovar tereta;Manipulacija teretom;Pretovarjanje
5229;H;522;4;Other transportation support activities;Ostale prateæe djelatnosti u prijevozu;Ostale pomoæne djelatnosti u prijevozu;Ostale prateæe delatnosti u saobraæaju;Špedicija in druge spremljajoèe prometne dejavnosti
5310;H;531;4;Postal activities under universal service obligation;Djelatnosti pružanja univerzalnih poštanskih usluga;Djelatnosti pružanja univerzalnih poštanskih usluga;Poštanske aktivnosti javnog servisa;Izvajanje univerzalne poštne storitve
5320;H;532;4;Other postal and courier activities;Djelatnosti pružanja ostalih poštanskih i kurirskih usluga;Djelatnosti pružanja ostalih poštanskih i kurirskih usluga;Poštanske aktivnosti komercijalnog servisa;Druga poštna in kurirska dejavnost
5510;I;551;4;Hotels and similar accommodation;Hoteli i slièan smještaj;Hoteli i slièan smještaj;Hoteli i slièan smeštaj;Dejavnost hotelov in podobnih nastanitvenih obratov
5520;I;552;4;Holiday and other short-stay accommodation;Odmarališta i slièni objekti za kraæi odmor;Odmarališta i slièni objekti za kraæi odmor;Odmarališta i slièni objekti za kraæi boravak;Dejavnost poèitniških domov in podobnih nastanitvenih obratov za kratkotrajno bivanje
5530;I;553;4;Camping grounds, recreational vehicle parks and trailer parks;Kampovi i prostori za kampiranje;Kampovi i prostori za kampiranje;Delatnost kampova, auto-kampova i kampova za turistièke prikolice;Dejavnost avtokampov, taborov
5590;I;559;4;Other accommodation;Ostali smještaj;Ostali smještaj;Ostali smeštaj;Dejavnost dijaških in študentskih domov ter druge nastanitve
5610;I;561;4;Restaurants and mobile food service activities;Djelatnosti restorana i ostalih objekata za pripremu i usluživanje hrane;Djelatnosti restorana i ostalih objekata za pripremu i usluživanje hrane;Delatnosti restorana i pokretnih ugostiteljskih objekta;Dejavnost restavracij in druga strežba jedi
5621;I;562;4;Event catering activities;Djelatnosti keteringa;Djelatnosti keteringa;Ketering;Priložnostna priprava in dostava jedi
5629;I;562;4;Other food service activities;Ostale djelatnosti pripreme i usluživanja hrane;Ostale djelatnosti pripreme i usluživanja hrane;Ostale usluge pripremanja i posluživanja hrane;Druga oskrba z jedmi
5630;I;563;4;Beverage serving activities;Djelatnosti pripreme i usluživanja piæa;Djelatnosti pripreme i usluživanja piæa;Usluge pripremanja i posluživanja piæa;Strežba pijaè
5811;J;581;4;Book publishing;Izdavanje knjiga;Izdavanje knjiga;Izdavanje knjiga;Izdajanje knjig
5812;J;581;4;Publishing of directories and mailing lists;Izdavanje imenika i popisa korisnièkih adresa;Izdavanje imenika i popisa korisnièkih adresa;Izdavanje imenika i adresara;Izdajanje imenikov in adresarjev
5813;J;581;4;Publishing of newspapers;Izdavanje novina;Izdavanje novina;Izdavanje novina;Izdajanje èasopisov
5814;J;581;4;Publishing of journals and periodicals;Izdavanje èasopisa i periodiènih publikacija;Izdavanje èasopisa i periodiènih publikacija;Izdavanje èasopisa i periodiènih izdanja;Izdajanje revij in druge periodike
5819;J;581;4;Other publishing activities;Ostala izdavaèka djelatnost;Ostala izdavaèka djelatnost;Ostala izdavaèka delatnost;Drugo založništvo
5821;J;582;4;Publishing of computer games;Izdavanje raèunalnih igara;Izdavanje raèunarskih igara;Izdavanje raèunarskih igara;Izdajanje raèunalniških iger
5829;J;582;4;Other software publishing;Izdavanje ostalog softvera;Izdavanje ostalog softvera;Izdavanje ostalih softvera;Drugo izdajanje programja
5911;J;591;4;Motion picture, video and television programme production activities;Proizvodnja filmova, videofilmova i televizijskog programa;Proizvodnja filmova, videofilmova i televizijskog programa;Proizvodnja kinematografskih dela, audio-vizuelnih proizvoda i televizijskog programa;Produkcija filmov, video filmov, televizijskih oddaj
5912;J;591;4;Motion picture, video and television programme post-production activities;Djelatnosti koje slijede nakon proizvodnje filmova, videofilmova i televizijskog programa;Djelatnosti koje slijede nakon proizvodnje filmova, videofilmova i televizijskog programa;Delatnosti koje slede nakon faze snimanja u proizvodnji kinematografskih dela i televizijskog programa;Post produkcijske dejavnosti pri izdelavi filmov, video filmov, televizijskih oddaj
5913;J;591;4;Motion picture, video and television programme distribution activities;Distribucija filmova, videofilmova i televizijskog programa;Distribucija filmova, videofilmova i televizijskog programa;Distribucija kinematografskih dela, audio-vizuelnih dela i televizijskog programa;Distribucija filmov, video filmov, televizijskih oddaj
5914;J;591;4;Motion picture projection activities;Djelatnosti prikazivanja filmova;Djelatnosti prikazivanja filmova;Delatnost prikazivanja kinematografskih dela;Kinematografska dejavnost
5920;J;592;4;Sound recording and music publishing activities;Djelatnosti snimanja zvuènih zapisa i izdavanja glazbenih zapisa;Djelatnosti snimanja zvuènih zapisa i izdavanja muzièkih zapisa;Snimanje i izdavanje zvuènih zapisa i muzike;Snemanje in izdajanje zvoènih zapisov in muzikalij
6010;J;601;4;Radio broadcasting;Emitiranje radijskog programa;Emitiranje radijskog programa;Emitovanje radio-programa;Radijska dejavnost
6020;J;602;4;Television programming and broadcasting activities;Emitiranje televizijskog programa;Emitiranje televizijskog programa;Proizvodnja i emitovanje televizijskog programa;Televizijska dejavnost
6110;J;611;4;Wired telecommunications activities;Djelatnosti žièane telekomunikacije;Djelatnosti žièane telekomunikacije;Kablovske telekomunikacije;Telekomunikacijske dejavnosti po vodih
6120;J;612;4;Wireless telecommunications activities;Djelatnosti bežiène telekomunikacije;Djelatnosti bežiène telekomunikacije;Bežiène telekomunikacije;Brezžiène telekomunikacijske dejavnosti
6130;J;613;4;Satellite telecommunications activities;Djelatnosti satelitske telekomunikacije;Djelatnosti satelitske telekomunikacije;Satelitske telekomunikacije;Satelitske telekomunikacijske dejavnosti
6190;J;619;4;Other telecommunications activities;Ostale telekomunikacijske djelatnosti;Ostale telekomunikacijske djelatnosti;Ostale telekomunikacione delatnosti;Druge telekomunikacijske dejavnosti
6201;J;620;4;Computer programming activities;Raèunalno programiranje;Raèunarsko programiranje;Raèunarsko programiranje;Raèunalniško programiranje
6202;J;620;4;Computer consultancy activities;Savjetovanje u vezi s raèunalima;Savjetovanje u vezi s raèunarima;Konsultantske delatnosti u oblasti informacione tehnologije;Svetovanje o raèunalniških napravah in programih
6203;J;620;4;Computer facilities management activities;Upravljanje raèunalnom opremom i sustavom;Upravljanje raèunarskom opremom i sistemom;Upravljanje raèunarskom opremom;Upravljanje raèunalniških naprav in sistemov
6209;J;620;4;Other information technology and computer service activities;Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i raèunalima;Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i raèunarima;Ostale usluge informacione tehnologije;Druge z informacijsko tehnologijo in raèunalniškimi storitvami povezane dejavnosti
6311;J;631;4;Data processing, hosting and related activities;Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima;Obrada podataka, usluge hostinga i djelatnosti u vezi s njima;Obrada podataka, hosting i sl.;Obdelava podatkov in s tem povezane dejavnosti
6312;J;631;4;Web portals;Internetski portali;Internetski portali;Veb portali;Obratovanje spletnih portalov
6391;J;639;4;News agency activities;Djelatnosti novinskih agencija;Djelatnosti novinskih agencija;Delatnosti novinskih agencija;Dejavnost tiskovnih agencij
6399;J;639;4;Other information service activities n.e.c.;Ostale informacijske uslužne djelatnosti, d. n.;Ostale informacijske uslužne djelatnosti, d. n.;Informacione uslužne delatnosti na drugom mestu nepomenute;Drugo informiranje
6411;K;641;4;Central banking;Središnje bankarstvo;Djelatnost Centralne banke;Centralna banka;Centralno banèništvo
6419;K;641;4;Other monetaryintermediation;Ostalo novèarsko posredovanje;Ostalo novèarsko posredovanje;Ostalo monetarno posredovanje;Drugo denarno posredništvo
6420;K;642;4;Activities of holding companies;Djelatnosti holding-društava;Djelatnosti finansijskih holding-društava;Delatnost holding kompanija;Dejavnost holdingov
6430;K;643;4;Trusts, funds and similar financial entities;Uzajamni fondovi (trustovi), ostali fondovi i slièni financijski subjekti;Trustovi, fondovi i slièni finansijski subjekti;Poverenièki fondovi (trastovi), investicioni fondovi i slièni finansijski entiteti;Dejavnost skrbniških in drugih skladov ter podobnih finanènih subjektov
6491;K;649;4;Financial leasing;Financijski leasing;Finansijski zakup (leasing);Finansijski lizing;Dejavnost finanènega zakupa
6492;K;649;4;Other credit granting;Ostalo kreditno posredovanje;Ostalo kreditno posredovanje;Ostale usluge kreditiranja;Drugo kreditiranje
6499;K;649;4;Other financial service activities, except insurance and pension funding n.e.c.;Ostale financijske uslužne djelatnosti, osim osiguranja i mirovinskih fondova, d. n.;Ostale finansijske uslužne djelatnosti, osim osiguranja i penzijskih fondova, d. n.;Ostale nepomenute finansijske usluge, osim osiguranja i penzijskih fondova;Drugje nerazvršèene dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov
6511;K;651;4;Life insurance;Životno osiguranje;Životno osiguranje;Životno osiguranje;Dejavnost življenjskega zavarovanja
6512;K;651;4;Non-life insurance;Ostalo osiguranje;Ostalo osiguranje;Neživotno osiguranje;Dejavnost zavarovanja, razen življenjskega
6520;K;652;4;Reinsurance;Reosiguranje;Reosiguranje;Reosiguranje;Dejavnost pozavarovanja
6530;K;653;4;Pension funding;Mirovinski fondovi;Penzijski fondovi;Penzijski fondovi;Dejavnost pokojninskih skladov
6611;K;661;4;Administration of financial markets;Poslovanje financijskih tržišta;Poslovanje finansijskih tržišta;Finansijske i robne berze;Upravljanje finanènih trgov
6612;K;661;4;Security and commodity contracts brokerage;Djelatnosti posredovanja u poslovanju vrijednosnim papirima i robnim ugovorima;Djelatnosti posredovanja u poslovanju vrijednosnim papirima i robnim ugovorima;Brokerski poslovi s hartijama od vrednosti i berzanskom robom;Posredništvo pri trgovanju z vrednostnimi papirji in borznim blagom
6619;K;661;4;Other activities auxiliary to financial services, except insurance and pension funding;Ostale pomoæne djelatnosti kod financijskih usluga, osim osiguranja i mirovinskih fondova;Ostale pomoæne djelatnosti  kod  finansijskih usluga, osim osiguranja i penzijskih fondova;Ostale pomoæne delatnosti u pružanju finansijskih usluga, osim osiguranja i penzijskih fondova;Druge pomožne dejavnosti za finanène storitve, razen za zavarovalništvo in pokojninske sklade
6621;K;662;4;Risk and damage evaluation;Procjena rizika i štete;Procjena rizika i štete;Obrada odštetnih zahteva i procenjivanje rizika i šteta;Vrednotenje tveganja in škode
6622;K;662;4;Activities of insurance agents and brokers;Djelatnosti agenata i posrednika osiguranja ;Djelatnosti agenata i posrednika osiguranja;Delatnost zastupnika i posrednika u osiguranju;Dejavnost zavarovalniških agentov
6629;K;662;4;Other activities auxiliary to insurance and pension funding;Ostale pomoæne djelatnosti u osiguranju i mirovinskim fondovima;Ostale pomoæne djelatnosti u osiguranju i penzijskim fondovima;Ostale pomoæne delatnosti u osiguranju i penzijskim fondovima;Druge pomožne dejavnosti za zavarovalništvo in pokojninske sklade
6630;K;663;4;Fund management activities;Djelatnosti upravljanja fondovima;Djelatnosti upravljanja fondovima;Upravljanje fondovima;Upravljanje finanènih skladov
6810;L;681;4;Buying and selling of own real estate;Kupnja i prodaja vlastitih nekretnina;Kupovina i prodaja vlastitih nekretnina;Kupovina i prodaja vlastitih nekretnina;Trgovanje z lastnimi nepremièninami
6820;L;682;4;Renting and operating of own or leased real estate;Iznajmljivanje i upravljanje vlastitim nekretninama ili nekretninama uzetim u zakup (leasing);Iznajmljivanje  i  upravljanje  vlastitim  nekretninama  ili nekretninama uzetim u zakup (leasing);Iznajmljivanje vlastitih ili iznajmljenih nekretnina i upravljanje njima;Oddajanje in obratovanje lastnih ali najetih nepremiènin
6831;L;683;4;Real estate agencies;Agencije za poslovanje nekretninama;Agencije za poslovanje nekretninama;Delatnost agencija za nekretnine;Posredništvo v prometu z nepremièninami
6832;L;683;4;Management of real estate on a fee or contract basis;Upravljanje nekretninama uz naplatu ili na osnovi ugovora;Upravljanje nekretninama uz naknadu ili na osnovu ugovora;Upravljanje nekretninama za naknadu;Upravljanje nepremiènin za plaèilo ali po pogodbi
6910;M;691;4;Legal activities;Pravne djelatnosti;Pravne djelatnosti;Pravni poslovi;Pravne dejavnosti
6920;M;692;4;"Accounting, bookkeeping and auditing activities; tax consultancy";"Raèunovodstvene, knjigovodstvene i revizijske djelatnosti; porezno savjetovanje";"Raèunovodstvene, knjigovodstvene i revizijske djelatnosti; porezno savjetovanje";"Raèunovodstveni, knjigovodstveni i revizorski poslovi; poresko savetovanje";Raèunovodske, knjigovodske in revizijske dejavnosti, davèno svetovanje
7010;M;701;4;Activities of head offices;Upravljaèke djelatnosti;Upravljaèke djelatnosti;Upravljanje ekonomskim subjektom;Dejavnost uprav podjetij
